stratum,contrast,metric,difference,ci95_low,bootstrap_median,ci95_high,probability_difference_below_zero
intensification,motion_minus_centered_equal_state,entropy_nats,-0.014259713443564692,,,,
intensification,motion_minus_centered_equal_state,area50_km2,-47500.0,,,,
intensification,motion_minus_centered_equal_state,area75_km2,-10000.0,,,,
intensification,motion_minus_centered_equal_state,area90_km2,57500.0,,,,
intensification,motion_minus_centered_equal_state,rms_about_centroid_km,2.367371303425216,,,,
intensification,motion_minus_centered_equal_state,centroid_x_km,-53.44912689405791,,,,
intensification,motion_minus_centered_equal_state,centroid_y_km,-348.26203887271777,,,,
intensification,motion_minus_centered_equal_state,centroid_distance_km,-7.0207971781203184,,,,
intensification,motion_minus_centered_equal_state,anisotropy_axis_ratio,0.008699994750465567,,,,
intensification,motion_minus_centered_equal_cyclone,entropy_nats,-0.007814288695488614,,,,
intensification,motion_minus_centered_equal_cyclone,area50_km2,-32500.0,,,,
intensification,motion_minus_centered_equal_cyclone,area75_km2,-5000.0,,,,
intensification,motion_minus_centered_equal_cyclone,area90_km2,70000.0,,,,
intensification,motion_minus_centered_equal_cyclone,rms_about_centroid_km,4.718402264192719,,,,
intensification,motion_minus_centered_equal_cyclone,centroid_x_km,-1.352965076886079,,,,
intensification,motion_minus_centered_equal_cyclone,centroid_y_km,-348.46096001394386,,,,
intensification,motion_minus_centered_equal_cyclone,centroid_distance_km,-15.343556353975515,,,,
intensification,motion_minus_centered_equal_cyclone,anisotropy_axis_ratio,0.028625468180817126,,,,
mature,centered_equal_cyclone_minus_equal_state,entropy_nats,0.0029418282862865297,,,,
mature,centered_equal_cyclone_minus_equal_state,area50_km2,-7500.0,,,,
mature,centered_equal_cyclone_minus_equal_state,area75_km2,17500.0,,,,
mature,centered_equal_cyclone_minus_equal_state,area90_km2,32500.0,,,,
mature,centered_equal_cyclone_minus_equal_state,rms_about_centroid_km,13.51064211546202,,,,
mature,centered_equal_cyclone_minus_equal_state,centroid_x_km,13.80267916545047,,,,
mature,centered_equal_cyclone_minus_equal_state,centroid_y_km,-5.91318945436953,,,,
mature,centered_equal_cyclone_minus_equal_state,centroid_distance_km,-11.56079628388784,,,,
mature,centered_equal_cyclone_minus_equal_state,anisotropy_axis_ratio,-0.0026519576066161843,,,,
mature,motion_equal_cyclone_minus_equal_state,entropy_nats,-0.0072424374201833785,,,,
mature,motion_equal_cyclone_minus_equal_state,area50_km2,-12500.0,,,,
mature,motion_equal_cyclone_minus_equal_state,area75_km2,5000.0,,,,
mature,motion_equal_cyclone_minus_equal_state,area90_km2,20000.0,,,,
mature,motion_equal_cyclone_minus_equal_state,rms_about_centroid_km,12.188924477108912,,,,
mature,motion_equal_cyclone_minus_equal_state,centroid_x_km,-0.9592680991146096,,,,
mature,motion_equal_cyclone_minus_equal_state,centroid_y_km,13.317058011495902,,,,
mature,motion_equal_cyclone_minus_equal_state,centroid_distance_km,-8.588948725465684,,,,
mature,motion_equal_cyclone_minus_equal_state,anisotropy_axis_ratio,0.003937285174418825,,,,
mature,motion_minus_centered_equal_state,entropy_nats,0.0073014897864718264,,,,
mature,motion_minus_centered_equal_state,area50_km2,-10000.0,,,,
mature,motion_minus_centered_equal_state,area75_km2,-7500.0,,,,
mature,motion_minus_centered_equal_state,area90_km2,52500.0,,,,
mature,motion_minus_centered_equal_state,rms_about_centroid_km,3.597117056356865,,,,
mature,motion_minus_centered_equal_state,centroid_x_km,-44.66001520222544,,,,
mature,motion_minus_centered_equal_state,centroid_y_km,-356.3253007600996,,,,
mature,motion_minus_centered_equal_state,centroid_distance_km,-9.632047804630531,,,,
mature,motion_minus_centered_equal_state,anisotropy_axis_ratio,-0.07570775354147696,,,,
mature,motion_minus_centered_equal_cyclone,entropy_nats,-0.002882775919998082,,,,
mature,motion_minus_centered_equal_cyclone,area50_km2,-15000.0,,,,
mature,motion_minus_centered_equal_cyclone,area75_km2,-20000.0,,,,
mature,motion_minus_centered_equal_cyclone,area90_km2,40000.0,,,,
mature,motion_minus_centered_equal_cyclone,rms_about_centroid_km,2.275399418003758,,,,
mature,motion_minus_centered_equal_cyclone,centroid_x_km,-59.42196246679052,,,,
mature,motion_minus_centered_equal_cyclone,centroid_y_km,-337.09505329423416,,,,
mature,motion_minus_centered_equal_cyclone,centroid_distance_km,-6.660200246208376,,,,
mature,motion_minus_centered_equal_cyclone,anisotropy_axis_ratio,-0.06911851076044195,,,,
decay,centered_equal_cyclone_minus_equal_state,entropy_nats,-0.029053256498634106,,,,
decay,centered_equal_cyclone_minus_equal_state,area50_km2,-57500.0,,,,
decay,centered_equal_cyclone_minus_equal_state,area75_km2,-80000.0,,,,
decay,centered_equal_cyclone_minus_equal_state,area90_km2,-65000.0,,,,
decay,centered_equal_cyclone_minus_equal_state,rms_about_centroid_km,26.248611518835446,,,,
decay,centered_equal_cyclone_minus_equal_state,centroid_x_km,-36.21841713053904,,,,
decay,centered_equal_cyclone_minus_equal_state,centroid_y_km,-8.563114961619647,,,,
decay,centered_equal_cyclone_minus_equal_state,centroid_distance_km,14.477176702301932,,,,
decay,centered_equal_cyclone_minus_equal_state,anisotropy_axis_ratio,0.0024114302322899572,,,,
decay,motion_equal_cyclone_minus_equal_state,entropy_nats,-0.021365530142126943,,,,
decay,motion_equal_cyclone_minus_equal_state,area50_km2,-37500.0,,,,
decay,motion_equal_cyclone_minus_equal_state,area75_km2,-95000.0,,,,
decay,motion_equal_cyclone_minus_equal_state,area90_km2,-92500.0,,,,
decay,motion_equal_cyclone_minus_equal_state,rms_about_centroid_km,28.026186520781494,,,,
decay,motion_equal_cyclone_minus_equal_state,centroid_x_km,21.22268022670721,,,,
decay,motion_equal_cyclone_minus_equal_state,centroid_y_km,-32.12476956456493,,,,
decay,motion_equal_cyclone_minus_equal_state,centroid_distance_km,8.388351311430227,,,,
decay,motion_equal_cyclone_minus_equal_state,anisotropy_axis_ratio,-1.1646272084053777e-05,,,,
decay,motion_minus_centered_equal_state,entropy_nats,-0.009530459451382534,,,,
decay,motion_minus_centered_equal_state,area50_km2,-35000.0,,,,
decay,motion_minus_centered_equal_state,area75_km2,35000.0,,,,
decay,motion_minus_centered_equal_state,area90_km2,100000.0,,,,
decay,motion_minus_centered_equal_state,rms_about_centroid_km,12.483997018116611,,,,
decay,motion_minus_centered_equal_state,centroid_x_km,-14.16455899050787,,,,
decay,motion_minus_centered_equal_state,centroid_y_km,-272.95730428309366,,,,
decay,motion_minus_centered_equal_state,centroid_distance_km,-48.42939759115512,,,,
decay,motion_minus_centered_equal_state,anisotropy_axis_ratio,0.011793156449737996,,,,
decay,motion_minus_centered_equal_cyclone,entropy_nats,-0.0018427330948753706,,,,
decay,motion_minus_centered_equal_cyclone,area50_km2,-15000.0,,,,
decay,motion_minus_centered_equal_cyclone,area75_km2,20000.0,,,,
decay,motion_minus_centered_equal_cyclone,area90_km2,72500.0,,,,
decay,motion_minus_centered_equal_cyclone,rms_about_centroid_km,14.261572020062658,,,,
decay,motion_minus_centered_equal_cyclone,centroid_x_km,43.27653836673838,,,,
decay,motion_minus_centered_equal_cyclone,centroid_y_km,-296.51895888603894,,,,
decay,motion_minus_centered_equal_cyclone,centroid_distance_km,-54.51822298202683,,,,
decay,motion_minus_centered_equal_cyclone,anisotropy_axis_ratio,0.009370079945363985,,,,
